iter	Passed	Remaining
0	1	186
1	3	160
2	4	148
3	5	134
4	6	128
5	7	124
6	9	120
7	10	120
8	13	132
9	14	131
10	15	127
11	17	125
12	18	122
13	19	118
14	20	116
15	21	113
16	23	112
17	24	111
18	25	110
19	27	108
20	28	107
21	29	105
22	30	103
23	32	101
24	33	99
25	34	98
26	35	96
27	36	94
28	38	93
29	39	92
30	41	91
31	42	89
32	43	88
33	44	86
34	45	84
35	46	83
36	48	81
37	49	80
38	50	78
39	51	77
40	53	77
41	54	75
42	55	73
43	57	72
44	58	71
45	59	69
46	60	68
47	61	66
48	62	65
49	63	63
50	64	62
51	66	61
52	68	60
53	69	59
54	70	57
55	71	55
56	72	54
57	73	53
58	74	51
59	75	50
60	76	49
61	78	47
62	79	46
63	80	45
64	82	44
65	84	43
66	85	41
67	86	40
68	87	39
69	88	37
70	89	36
71	90	35
72	91	33
73	93	32
74	94	31
75	95	30
76	97	29
77	98	27
78	99	26
79	100	25
80	102	23
81	103	22
82	104	21
83	106	20
84	107	18
85	108	17
86	109	16
87	111	15
88	112	13
89	113	12
90	115	11
91	116	10
92	117	8
93	119	7
94	121	6
95	122	5
96	124	3
97	125	2
98	127	1
99	128	0
