iter	Passed	Remaining
0	139	139487
1	141	70448
2	142	47393
3	143	35829
4	145	28898
5	146	24251
6	147	20926
7	148	18439
8	150	16599
9	152	15072
10	153	13803
11	154	12735
12	155	11840
13	157	11067
14	158	10398
15	159	9807
16	160	9289
17	161	8832
18	163	8418
19	164	8066
20	166	7744
21	167	7441
22	168	7167
23	169	6910
24	171	6674
25	172	6456
26	173	6252
27	174	6061
28	175	5882
29	176	5717
30	178	5569
31	179	5437
32	180	5303
33	182	5173
34	183	5051
35	184	4938
36	185	4828
37	186	4725
38	187	4627
39	188	4533
40	190	4445
41	191	4368
42	193	4301
43	194	4233
44	196	4161
45	197	4090
46	198	4023
47	199	3960
48	200	3900
49	202	3842
50	203	3786
51	204	3735
52	206	3684
53	207	3637
54	209	3593
55	210	3547
56	211	3501
57	212	3456
58	213	3411
59	215	3368
60	216	3328
61	217	3289
62	218	3249
63	219	3211
64	220	3178
65	222	3147
66	223	3113
67	224	3079
68	225	3048
69	227	3018
70	228	2987
71	229	2955
72	230	2925
73	231	2896
74	232	2867
75	233	2840
76	234	2814
77	236	2791
78	237	2768
79	238	2742
80	239	2720
81	241	2698
82	241	2668
83	242	2645
84	243	2623
85	244	2600
86	245	2578
87	246	2558
88	247	2537
89	249	2517
90	250	2503
91	251	2486
92	253	2468
93	254	2453
94	255	2436
95	256	2418
96	257	2400
97	258	2383
98	259	2365
99	260	2348
100	262	2332
101	263	2316
102	264	2301
103	265	2287
104	267	2279
105	268	2268
106	270	2255
107	271	2242
108	272	2228
109	273	2215
110	274	2201
111	276	2188
112	277	2175
113	278	2163
114	279	2151
115	280	2140
116	282	2130
117	283	2120
118	285	2110
119	286	2099
120	287	2087
121	288	2074
122	289	2062
123	290	2051
124	291	2040
125	292	2028
126	293	2017
127	295	2014
128	297	2008
129	298	1999
130	299	1988
131	300	1978
132	301	1968
133	302	1958
134	304	1948
135	305	1938
136	306	1929
137	307	1919
138	308	1911
139	310	1906
140	311	1898
141	312	1887
142	313	1879
143	314	1870
144	315	1861
145	316	1852
146	317	1844
147	318	1835
148	319	1827
149	321	1819
150	322	1810
151	323	1804
152	324	1797
153	325	1789
154	327	1782
155	328	1776
156	329	1768
157	330	1760
158	331	1753
159	332	1746
160	333	1736
161	334	1729
162	335	1721
